Name,PlayerId
Johan Rojas,24336
Blake Perkins,19921
Tyler Freeman,22532
Angel Martínez,26540
Lenyn Sosa,22896
Luis Campusano,22217
Jake Alu,25569
Ben Rice,29576
Dominic Canzone,26438
Jordan Beck,31431
Blaze Alexander,23789
Brooks Lee,31595
Oswald Peraza,22823
Connor Norby,29592
Jhonkensy Noel,24257
Logan O'Hoppe,24729
Endy Rodríguez,25332
Jackson Holliday,31781
Jared Triolo,25807
Leo Jiménez,23782
Trey Lipscomb,31567
Liover Peguero,24273
Pedro Pagés,25782
Daniel Schneemann,25180
Sal Frelick,29622
Addison Barger,24598
Jordan Westburg,27815
Bo Naylor,21865
Justyn-Henry Malloy,29606
Mark Vientos,22184
Freddy Fermin,21840
Royce Lewis,20437
Christian Encarnacion-Strand,30011
Luis Matos,26467
Matt Wallner,26466
Stuart Fairchild,20321
Henry Davis,29617
Austin Martin,27462
Joey Loperfido,29630
Oscar Colás,30162
Joshua Palacios,19818
Stone Garrett,19273
Casey Schmitt,27577
José Caballero,23401
Jordan Diaz,22650
Zack Gelof,29766
Miguel Vargas,20178
Andruw Monasterio,19455
Corey Julks,20311
Will Benson,21853
Zach Neto,31347
James Wood,29518
Drew Waters,20505
Michael Siani,22557
Dominic Fletcher,26149
Blake Sabol,25805
Gabriel Arias,22563
Alec Burleson,27615
Tyler Soderstrom,27467
Patrick Bailey,27478
David Hamilton,27531
Noelvi Marte,26517
Ji Hwan Bae,23818
Tyler Fitzgerald,26208
Yainer Diaz,23003
Gabriel Moreno,22664
Xavier Edwards,22266
Brett Baty,26123
Connor Wong,19896
Matt McLain,29695
Luke Raley,19354
Jonny DeLuca,26365
Edouard Julien,27534
Joey Wiemer,27690
Francisco Alvarez,26121
Nolan Jones,20529
Wenceel Pérez,22857
Spencer Horwitz,26477
Elly De La Cruz,26668
Pete Crow-Armstrong,27769
Brenton Doyle,25479
Otto Lopez,19608
Alex Call,19296
Parker Meadows,23800
Andy Pages,24816
Brice Turang,22186
Will Brennan,25660
Max Schuemann,24488
Kerry Carpenter,25961
Korey Lee,25543
Jordan Walker,27475
Austin Wells,27562
Ryan Noda,23312
Esteury Ruiz,21780
Triston Casas,22514
Maikel Garcia,22715
Josh Jung,26299
Nick Gonzales,27490
Brayan Rocchio,23690
Wilyer Abreu,23772
Joey Ortiz,25493
Colt Keith,27899
Wyatt Langford,33333
James Outman,24770
Jackson Chourio,28806
Heliot Ramos,22515
Lawrence Butler,22542
Masataka Yoshida,31837
Jackson Merrill,29490
Davis Schneider,23565
Anthony Volpe,27647
Ezequiel Tovar,24064
Gunnar Henderson,26289
Colton Cowser,29591
Jacob Young,29931
Corbin Carroll,25878
Michael Busch,26319
Ceddanne Rafaela,24262
Spencer Steer,26323
Nolan Schanuel,33189
Masyn Winn,27479
