Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Chris Owings","NYY","AAA","30-32",886,0.127539503,0.267494356,0.476793248,0.246376811,0.349152542,0.428194993,0.777347535,0.181818182,5.141106490785523,0.313765182,-2.86884237639606,122.72880717435726,-1.264381713477301,0.34857422895560974,98.73718194558896,"10030"
"Rafael Ortega","TEX","AAA","32-33",652,0.168711656,0.182515337,0.924369747,0.256603773,0.381538461,0.439622641,0.821161102,0.183018868,5.135384363525061,0.290726817,-2.9579868693836033,101.49274896906478,9.421900697814054,0.37127477939312276,111.76570301536576,"10323"
"Jon Singleton","MIL","AAA","30-31",945,0.19047619,0.249735449,0.762711864,0.24668435,0.388359788,0.4867374,0.875097188,0.24005305,3.1789618284812815,0.290456431,-1.9779158979654312,163.88618830040616,34.55164639846009,0.38561853902337406,125.88966800496082,"10441"
"Carlos Perez","COL","AAA","31-33",1005,0.103482587,0.179104477,0.577777777,0.258836944,0.344278606,0.5336374,0.877916006,0.274800456,2.85302197125,0.260802469,-1.1380554982461035,164.04365408473666,17.401108995611022,0.3715102356149856,111.85847854411212,"10642"
"Rob Brantly","NYY","AAA","32-34",557,0.073608617,0.157989228,0.46590909,0.263374485,0.345945945,0.368312757,0.714258702,0.104938272,3.0407519560630956,0.305555555,-0.8778736228123307,68.28047130800228,-7.123706163993081,0.329091638272947,90.36380349594965,"10655"
"Elliot Soto","MIN","AAA","32-34",996,0.112449799,0.248995983,0.451612903,0.221320973,0.31408308,0.317497103,0.631580183,0.09617613,7.031745828609935,0.29787234,3.22365493606776,91.07239743844698,-47.647719176848426,0.2945389494934624,66.03698131460341,"11155"
"Jake Marisnick","ATL","AAA,CPX","31-33",498,0.102409638,0.261044176,0.392307692,0.27039627,0.361616161,0.463869463,0.825485624,0.193473193,7.085325965458573,0.351916376,1.548852342646569,77.31091356609758,6.7835696819871245,0.3664089819397589,108.9013845967604,"11339"
"Delino DeShields","ATL","AAA","29-30",476,0.170168067,0.260504201,0.653225806,0.219895287,0.360169491,0.259162303,0.619331794,0.039267016,5.567171901205837,0.318007662,0.35095162922516465,50.18715518207861,-13.387221520230039,0.3063174678107439,79.68720817792315,"11379"
"Drew Maggi","PIT","AA,AAA","33-35",610,0.095081967,0.239344262,0.397260273,0.207547169,0.300826446,0.288679245,0.589505691,0.081132076,6.094176549379225,0.274869109,1.9365159287117422,50.47290824716851,-28.922824408952746,0.2782457228534478,63.15145409711471,"11381"
"Tony Wolters","LAD","AAA","30-31",449,0.138084632,0.231625835,0.596153846,0.236702127,0.351893095,0.311170212,0.663063307,0.074468085,2.0041133677997918,0.315018315,-1.1893251691944897,49.56436144884695,-15.192012671865328,0.316086793397211,76.92183720624236,"11470"
"Dixon Machado","SFG","AAA,CPX","30-32",1045,0.132057416,0.137799043,0.958333333,0.261312217,0.367209971,0.364253393,0.731463364,0.102941176,3.542840287828607,0.294117647,-0.8953336677514017,138.12542727932345,-10.32189750328646,0.34147594313379215,94.17807482154359,"11472"
"Yolmer Sanchez","BOS","AAA","30-32",1276,0.159874608,0.21630094,0.739130434,0.236030828,0.367346938,0.377649325,0.744996263,0.141618497,4.903717841330239,0.29144385,-0.6973344287835062,172.25262449189813,-1.1894985635599253,0.3442982438511736,99.47061598925471,"11602"
"Nick Martini","CIN","AAA","33-34",517,0.147001934,0.210831721,0.697247706,0.281030444,0.398452611,0.512880562,0.911333173,0.231850118,3.1496305318452382,0.326666666,-1.4074296597391367,94.73705473906767,22.47929552562009,0.4025063482428427,131.47794798889853,"12005"
"Niko Goodrum","HOU","AAA,CPX","30-32",615,0.193495934,0.242276422,0.798657718,0.283095723,0.424390243,0.452138492,0.876528735,0.169042769,5.855090728450344,0.373088685,0.17503206338733435,112.80972768548,27.207971708803043,0.4001310840127519,131.69849661300296,"12092"
"Juniel Querecuto","CIN","AAA","29-30",872,0.07912844,0.207568807,0.381215469,0.262690355,0.32566168,0.41751269,0.74317437,0.154822335,5.153302223588294,0.311224489,0.24667492788285017,108.05221522472505,-10.776020639914233,0.33104277733966314,90.90202854917462,"12140"
"Ben Gamel","PIT","AAA","30-32",557,0.154398563,0.224416517,0.688,0.291304347,0.403603603,0.502173913,0.905777516,0.210869566,4.204047956747894,0.354231974,-1.9676891472190619,102.08161724998078,24.220431952610824,0.4008639983106606,131.19360776466857,"12160"
"Jorge Bonifacio","PHI","AA,AAA","29-30",952,0.113445378,0.237394957,0.477876106,0.254278728,0.345588235,0.447432762,0.793020997,0.193154034,4.7606720271010925,0.301056338,0.004413131158798933,138.24162734764104,11.137237084083614,0.3529982521080194,108.62952217376228,"12174"
"Jake Hager","ARI","AAA,CPX","29-31",646,0.082043343,0.232198142,0.353333333,0.246073298,0.3125,0.383944153,0.696444153,0.137870855,5.187478633619195,0.311163895,-1.5660429848358035,68.42828704774568,-26.021309208272015,0.31019196109846237,72.27739451720734,"12198"
"Cory Spangenberg","STL","AAA","31-31",414,0.065217391,0.326086956,0.2,0.235602094,0.289855072,0.384816753,0.674671825,0.149214659,7.414588262917853,0.334728033,0.7577763274312019,41.82416286100656,-12.559831032855207,0.29903680849190495,76.90528015031862,"12294"
"Taylor Motter","CIN","AAA","32-33",569,0.131810193,0.23198594,0.568181818,0.254620123,0.351493848,0.486652977,0.838146825,0.232032854,4.151489942649087,0.288288288,0.5377080626785755,87.77732279881164,10.736370906078072,0.3659279642390533,114.52427294325544,"12399"
"John Hicks","CHC","AAA","32-33",593,0.075885328,0.276559865,0.274390243,0.243947858,0.304054054,0.448789571,0.752843625,0.204841713,5.594848051063891,0.303370786,1.0674780663102865,72.24328144890272,-7.658526649055841,0.3283482424512103,91.37599690007801,"12547"
"Dillon Thomas","LAA","AAA","29-29",492,0.113821138,0.258130081,0.440944881,0.2705314,0.37804878,0.466183574,0.844232354,0.195652174,4.447573129050305,0.344322344,-1.5037246565334499,81.7851052176405,9.4107167612959,0.37079320860102893,113.00282732885867,"12719"
