Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Tomas Telis","MIN","AAA","30-31",766,0.073107049,0.116187989,0.629213483,0.29226361,0.350326797,0.388252148,0.738578945,0.095988538,3.220496521277161,0.317725752,-0.4901367905549705,100.22152683764725,-3.904382297098341,0.33332023854349174,96.86313515899441,"10067"
"Wilfredo Tovar","NYM","AAA","29-29",407,0.11056511,0.113022113,0.978260869,0.276056338,0.358722358,0.38028169,0.739004048,0.104225352,4.2438382884410935,0.29738562,0.26141603710129857,53.899412614309384,1.7145976098414215,0.33539993024868225,103.28562554010131,"10416"
"Jon Singleton","MIL","AAA","30-30",581,0.201376936,0.277108433,0.726708074,0.219298245,0.375215146,0.434210526,0.809425672,0.214912281,3.606747519294573,0.273381294,-1.1447817021980882,90.41431266879113,14.092813991656618,0.3634710419794609,118.46506454396807,"10441"
"Cheslor Cuthbert","CIN","AAA","28-28",350,0.122857142,0.194285714,0.632352941,0.221854304,0.328571428,0.430463576,0.759035004,0.208609272,2.678689811963558,0.233944954,-0.6286899712868035,46.890114036415085,2.0137374969463258,0.3372367126601083,104.48729967129864,"10473"
"Derek Dietrich","NYY","AA,AAA","31-32",534,0.104868913,0.301498127,0.347826086,0.208237986,0.343984962,0.393592677,0.737577639,0.185354691,2.29498892125,0.279693486,-0.7667831345461309,71.1762701059678,2.4220792288878457,0.3365388186578464,103.8534351974218,"10542"
"Carlos Perez","OAK","AAA","30-31",940,0.093617021,0.173404255,0.5398773,0.260817307,0.339361702,0.545673076,0.885034778,0.284855769,1.921149315,0.252854812,-0.7285749949514866,155.3805627740498,16.921517602312107,0.367798157647268,112.21627478796887,"10642"
"Rob Brantly","NYY","AAA","31-32",465,0.066666666,0.156989247,0.424657534,0.280487804,0.359139784,0.409756097,0.768895881,0.129268293,3.7345468976736145,0.318181818,-0.37889405991882086,65.62487368726296,5.371440832252921,0.34611694771668006,109.15282479405802,"10655"
"Ryan LaMarre","NYY","AAA","32-33",426,0.112676056,0.244131455,0.461538461,0.285318559,0.392018779,0.451523545,0.843542324,0.166204986,6.010435991850802,0.372469635,-0.16755725583061576,71.70269922279,16.49693817757249,0.3782685204113231,129.8133387504249,"10700"
"Christian Colon","TOR","AAA","32-32",413,0.0968523,0.118644067,0.81632653,0.257703081,0.344660194,0.428571428,0.773231622,0.170868347,2.743801298580701,0.258389261,-2.823552695568651,57.48258015115624,4.528455834583103,0.3434491645074585,108.55165842703931,"11145"
"Elliot Soto","LAD","AAA,CPX","31-32",551,0.108892921,0.219600725,0.495867768,0.229813664,0.321818181,0.327122153,0.648940334,0.097308489,5.931425164175652,0.298050139,0.6699832028243691,56.17011613954064,-19.57042464803699,0.29995495080947876,74.58902834542822,"11155"
"Adrian Sanchez","WSN","AAA","30-31",436,0.066513761,0.18119266,0.367088607,0.268656716,0.319444444,0.388059701,0.707504145,0.119402985,4.9486087226456394,0.321766561,-0.389341542031616,50.634035237914695,-6.092858485096322,0.31645231128290846,89.54207421243703,"11338"
"Delino DeShields","TEX","AAA","28-29",807,0.172242874,0.250309789,0.688118811,0.235294117,0.375469336,0.312693498,0.688162834,0.077399381,6.1895099346787115,0.328054298,3.295947147998959,103.08958248774296,-7.614944622118414,0.3275316240492094,92.7289074138835,"11379"
"Drew Maggi","MIN","AAA","32-33",716,0.111731843,0.276536312,0.404040404,0.232786885,0.339410939,0.368852459,0.708263398,0.136065574,6.369245227614438,0.315789473,1.1160958483815193,87.78054152655048,-5.1115566022451375,0.3243830209861798,94.79612661134266,"11381"
