Name,PlayerId
Jake Meyers,20308
Yonny Hernández,19432
Jason Delay,19806
Charles Leblanc,19813
Oswaldo Cabrera,21707
Zach McKinstry,19392
Tyler Heineman,13897
Taylor Walls,22458
Taylor Trammell,19960
Gavin Sheets,19901
Bubba Thompson,22261
David Villar,24782
Nick Pratto,22117
Jose Rojas,19331
Zack Short,19562
Leody Taveras,18900
Andrew Knizner,19514
William Contreras,20503
Elehuris Montero,20543
Jonah Bride,24703
Alejandro Kirk,22581
Michael Massey,27684
Ryan McKenna,19928
Cooper Hummel,19458
Owen Miller,24655
Brian Serven,19422
Nelson Velázquez,23359
Jorge Mateo,17273
Andrés Giménez,19950
Connor Joe,16572
Brent Rooker,19627
Nick Madrigal,20521
Nick Gordon,16337
José Azocar,18821
Bryan De La Cruz,19600
Eli White,19346
Ezequiel Duran,23733
Zack Collins,19181
Alex Kirilloff,20325
Cal Mitchell,22169
JJ Bleday,26368
Joey Meneses,14366
DJ Peters,19348
Phillip Evans,12950
Yu Chang,14773
Jesús Sánchez,19913
Josh Smith,26396
Sergio Alcántara,16417
Frank Schwindel,15351
Brandon Marsh,20202
Yermín Mercedes,17423
Dom Nuñez,15055
Lane Thomas,16939
Jake Fraley,19260
Tyrone Taylor,13675
Andy Ibáñez,18819
Juan Yepez,18400
Bobby Bradley,17278
Diego A. Castillo,19906
Jonah Heim,16930
Yadiel Hernandez,19334
Jack Mayfield,15402
Ryan Jeffers,24618
Kelvin Gutiérrez,17468
Ramón Urías,18795
Ha-Seong Kim,27506
Vinnie Pasquantino,27676
Trevor Larnach,21501
CJ Abrams,25768
Seth Brown,18171
Wander Franco,23667
Nolan Gorman,22263
Daulton Varsho,19918
Chas McCormick,19599
Edmundo Sosa,17022
Nick Allen,22277
Cristian Pache,19948
Yonathan Daza,15794
Jarren Duran,24617
Alfonso Rivas III,21560
Sheldon Neuse,19635
Luis González,20332
Kyle Isbel,21614
Oneil Cruz,21711
Rodolfo Castro,21987
Jack Suwinski,22244
Jose Siri,17452
Patrick Wisdom,13602
Jarred Kelenic,22558
Eric Haase,14111
LaMonte Wade Jr.,18126
Oscar Gonzalez,20970
Ke'Bryan Hayes,18577
Tyler Stephenson,17988
Spencer Torkelson,27465
Gilberto Celestino,20233
Alek Thomas,23792
Brendan Rodgers,17907
Riley Greene,25976
Jake McCarthy,21622
Christopher Morel,21897
Matt Vierling,21558
Michael Harris II,25931
Seiya Suzuki,30116
Bobby Dalbec,19966
Emmanuel Rivera,19890
Akil Baddoo,22168
Bryson Stott,26294
Brendan Donovan,24679
Andrew Vaughn,26197
Adley Rutschman,26288
Lars Nootbaar,21454
Jose Miranda,20538
Jazz Chisholm Jr.,20454
Keibert Ruiz,19610
MJ Melendez,22197
Geraldo Perdomo,22799
Pavin Smith,19892
Jeremy Peña,21636
Julio Rodríguez,23697
Ryan Mountcastle,18373
Randy Arozarena,19290
Dylan Carlson,20126
Adolis García,19287
Jonathan India,21523
Bobby Witt Jr.,25764
Steven Kwan,24610
