Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Christian Bethancourt","PIT","AAA","29-29",363,0.077134986,0.201101928,0.383561643,0.280966767,0.338842975,0.468277945,0.80712092,0.187311178,3.993813425650225,0.321138211,-0.05118249449878931,53.39286672127251,6.849653338909187,0.3528726439173885,114.7167607071684,"10028"
"Tomas Telis","MIN","AAA","28-30",780,0.053846153,0.116666666,0.461538461,0.310013717,0.35,0.44855967,0.79855967,0.138545953,3.8143902063253856,0.33118971,0.1013902323320508,112.70764744596593,10.10414313094727,0.34946349484798234,109.66083209959429,"10067"
"Rafael Ortega","ATL","AAA","28-30",566,0.118374558,0.19081272,0.62037037,0.28080808,0.368141592,0.519191919,0.887333511,0.238383839,5.461517133647262,0.314049586,-0.6635081508429721,96.39810048726524,19.916821695241584,0.3790738178905866,125.9736184894856,"10323"
"Wilfredo Tovar","LAA","AAA","27-29",756,0.084656084,0.12037037,0.703296703,0.297653958,0.357142857,0.41202346,0.769166317,0.114369502,4.996472096853349,0.327086882,-2.186553801933769,103.61052996676446,-0.9048424287509758,0.339643092461364,99.4580786077782,"10416"
"Cheslor Cuthbert","KCR","AAA","26-28",569,0.105448154,0.200351493,0.526315789,0.256513026,0.344463971,0.468937875,0.813401846,0.212424849,2.4288770229862937,0.286501377,-0.5806014201370999,84.45901400782506,6.744837844747712,0.3517099154037489,108.3054369564955,"10473"
"David Freitas","MIL","AAA,CPX","30-32",466,0.128755364,0.148068669,0.869565217,0.352791878,0.439655172,0.527918781,0.967573953,0.175126903,1.8814106919710938,0.393650793,-0.30219662812305614,98.62830273288644,30.26166898983872,0.41656015626279824,143.52438484869958,"10619"
"Carlos Perez","BAL","AA,AAA","28-30",828,0.06642512,0.143719806,0.462184873,0.256,0.315598548,0.494666666,0.810265214,0.238666666,1.3767680275,0.247474747,-0.20866574841784313,118.02185896163934,11.28985974317543,0.3453101282408743,110.63384760142841,"10642"
"Rob Brantly","PHI","AAA","29-31",536,0.097014925,0.130597014,0.742857142,0.301724137,0.391791044,0.459051724,0.850842768,0.157327587,3.037603994560074,0.328083989,-0.0405753148952499,88.77014028532093,17.888062233753843,0.3742087368911269,125.27076239745803,"10655"
"Ryan LaMarre","ATL","AAA","30-32",695,0.093525179,0.258992805,0.361111111,0.299509001,0.379856115,0.466448445,0.84630456,0.166939444,6.736906264227828,0.400954653,-0.46666578669101,113.0514119743828,20.331344324303075,0.3707261242681003,121.98429919557961,"10700"
"Arismendy Alcantara","NYM","AA,AAA","27-29",706,0.090651558,0.273371104,0.331606217,0.283911671,0.348011363,0.518927444,0.866938807,0.235015773,7.7110628808741914,0.357487922,3.272127684496809,113.29181055893362,17.396445350546248,0.36572037067047053,118.170850868509,"10711"
"Rangel Ravelo","STL","AAA","27-29",494,0.10931174,0.145748987,0.75,0.322352941,0.410931174,0.534117647,0.945048821,0.211764706,2.0021929918739207,0.348214285,-0.5112895667552948,97.60441521068341,23.80365722139604,0.40220629213789655,132.52284102997078,"10839"
"Adam Duvall","ATL","AAA","30-30",429,0.111888111,0.2004662,0.558139534,0.265582655,0.363636363,0.601626016,0.965262379,0.336043361,4.672744323391494,0.260869565,0.3347446955740452,79.96767136838038,21.559844497700524,0.39707316707162293,136.91259485725422,"10950"
"Christian Colon","CIN","AAA","30-32",995,0.097487437,0.107537688,0.906542056,0.282201405,0.360406091,0.436768149,0.79717424,0.154566744,4.058437305351984,0.292286874,-3.9519568029791117,144.3386161779631,12.145901561306825,0.35039229653208387,109.17264044055875,"11145"
"Elliot Soto","COL","AAA,CPX","29-31",670,0.097014925,0.201492537,0.481481481,0.285472972,0.36281859,0.425675675,0.788494265,0.140202703,6.452585796862215,0.354120267,-0.9263204448507167,96.75284725205525,-3.223267438248548,0.34552247502814526,96.60017840488602,"11155"
"Adrian Sanchez","WSN","AA,AAA","28-30",456,0.065789473,0.146929824,0.447761194,0.31566265,0.36423841,0.460240963,0.824479373,0.144578313,4.888193984116949,0.353801169,0.17623897996963933,69.98892256849199,17.166775586537412,0.3667687393080633,133.46196679166292,"11338"
"Delino DeShields","TEX","AAA","26-28",456,0.155701754,0.225877192,0.689320388,0.253333333,0.376940133,0.378666666,0.755606799,0.125333333,6.5484911071897285,0.325757575,4.024624702811707,65.46329538708174,-0.5267119687274687,0.3435553158994789,99.23536496105439,"11379"
"Drew Maggi","MIN","AA,AAA","30-32",886,0.117381489,0.247178329,0.474885844,0.255033557,0.369195922,0.428187919,0.797383841,0.173154362,5.925667668761218,0.325349301,0.09557476663030684,132.7882948288664,16.22625628802627,0.3567676219810434,114.16138364778853,"11381"
"Dixon Machado","CHC","AAA","27-27",393,0.13740458,0.201017811,0.683544303,0.261398176,0.37113402,0.480243161,0.851377181,0.218844985,2.4519347169484806,0.294871794,-0.951278195308987,62.86630952891715,3.938203355044202,0.3628683924057323,106.68306451835421,"11472"
"Henry Ramos","SFG","AAA","27-29",660,0.08030303,0.184848484,0.434426229,0.313028764,0.372340425,0.500846023,0.873186448,0.187817259,3.5756440472291198,0.35619469,-2.3591489560785703,111.0791589750875,12.822884125911083,0.3710162978404199,113.34635062426025,"11481"
"Andrew Romine","PHI","AAA","33-35",660,0.071212121,0.165151515,0.43119266,0.289562289,0.347158218,0.388888888,0.736047106,0.099326599,6.004769661146571,0.340292275,0.7497076843865216,82.8284133973073,-5.10265524662028,0.32814884204102734,94.25412700709889,"1159"
"Yolmer Sanchez","ATL","AAA","29-29",355,0.098591549,0.247887323,0.397727272,0.216129032,0.308781869,0.351612903,0.660394772,0.135483871,5.088140698176173,0.271028037,-0.5348193310201168,36.58734848858065,-8.930119144309094,0.3003896037512393,80.38089637074532,"11602"
"Jarrett Parker","LAA","AAA","30-30",424,0.16981132,0.29481132,0.576,0.265895953,0.393867924,0.53468208,0.928550004,0.268786127,3.3801886000243364,0.34,-0.016418931481894106,77.89798492692206,14.321605746967535,0.38764221994649795,122.52661433648157,"11624"
"Mason Williams","BAL","AAA","27-29",727,0.086657496,0.188445667,0.459854014,0.299079754,0.359612724,0.457055214,0.816667938,0.15797546,4.060806916825161,0.345381526,-1.182555200648494,108.79612177661822,11.663779214538788,0.35540201921542264,111.80996714894246,"11859"
"Yadiel Rivera","MIA","AAA","27-29",385,0.02077922,0.254545454,0.081632653,0.281842818,0.298429319,0.436314363,0.734743682,0.154471545,4.827094177684053,0.346153846,-0.22102239762898535,41.89324752448172,-15.659767409581237,0.30849363635347776,72.64465444356821,"11863"
"Travis Taijeron","NYM","AAA","30-30",453,0.141280353,0.36423841,0.387878787,0.229110512,0.36423841,0.495956873,0.860195283,0.266846361,5.384005914626669,0.331521739,-0.05699366389308125,73.50962186091898,11.834224256215078,0.37000590773344566,119.18791725035025,"11935"
"Nick Martini","OAK","AAA","29-31",652,0.139570552,0.185582822,0.752066115,0.297794117,0.409509202,0.463235294,0.872744496,0.165441177,3.798355677474643,0.351351351,-0.3982552678207867,116.85364074550358,26.10748452983585,0.38589069962501527,128.69832856083553,"12005"
"Matt Skole","CHW","AAA","29-29",392,0.178571428,0.25255102,0.707070707,0.248407643,0.383631713,0.496815286,0.880446999,0.248407643,1.683211465,0.28643216,0.154394960263744,65.52623721953614,12.155915230476689,0.3754860812687443,122.77654467396424,"12119"
"Juniel Querecuto","ARI","AAA","26-28",804,0.058457711,0.164179104,0.356060606,0.294117647,0.334993773,0.462566844,0.797560617,0.168449197,6.173773425281685,0.33,-0.056477012985851616,110.20806397024032,-9.394917954770367,0.33737768245844657,92.25240899099529,"12140"
"Jorge Bonifacio","KCR","AA,AAA","26-28",881,0.10215664,0.230419977,0.443349753,0.236129032,0.316685584,0.454193548,0.770879132,0.218064516,5.388292364689317,0.267889908,-1.0197877349564806,110.15143078997383,-13.377618263814352,0.32786585326075285,91.87003643232508,"12174"
"Jake Hager","MIL","AAA","26-28",710,0.087323943,0.26197183,0.333333333,0.240944881,0.307365439,0.436220472,0.743585911,0.195275591,5.067561288447829,0.293706293,1.7380381012917496,82.10311851046495,-21.230886770864203,0.3161468061149543,80.43518919087167,"12198"
"Scott Schebler","CIN","AAA,R","28-30",501,0.057884231,0.273453093,0.211678832,0.218543046,0.287425149,0.368653421,0.65607857,0.150110375,2.642950964392395,0.273927392,-0.45574461040087044,45.008237896551925,-26.460833968529858,0.2862507628202438,62.589447869945005,"12225"
"Cory Spangenberg","MIL","AAA","28-28",476,0.090336134,0.285714285,0.31617647,0.308962264,0.37815126,0.497641509,0.875792769,0.188679245,7.868894768838916,0.422382671,3.6288729810039513,80.84985724141883,9.476374954488742,0.37317928283655344,113.27716492295075,"12294"
"Jace Peterson","BAL","AAA","29-31",441,0.124716553,0.170068027,0.733333333,0.30183727,0.390022675,0.522309711,0.912332386,0.220472441,6.590252052404754,0.340136054,1.4747006425168365,80.0896158984043,20.55555962232131,0.3920197134115258,134.57924059722163,"12325"
"Beau Taylor","OAK","AAA","29-31",513,0.155945419,0.261208576,0.597014925,0.239904988,0.3671875,0.384798099,0.751985599,0.144893111,1.9409340587500001,0.318996415,-0.21747945511015132,70.56103980217256,-0.7384555372210646,0.338344759683983,97.73642248594176,"12384"
"Jason Krizan","NYM","AA,AAA","30-32",923,0.096424702,0.124593716,0.773913043,0.29620563,0.362745098,0.481028151,0.843773249,0.184822521,2.617310726697352,0.310850439,0.12361423816764727,148.74951913023543,27.874057998901108,0.36742019237775947,124.01469199344676,"12394"
"Taylor Motter","DET","AA,AAA","29-31",604,0.144039735,0.213576158,0.674418604,0.260355029,0.370860927,0.508875739,0.879736666,0.24852071,3.5144655639012328,0.284900284,-0.37795009213732556,105.52402094304206,26.076080831881782,0.376081863972986,127.14709123401782,"12399"
